지역구분,자치구명,total_occurrence,total_clearance,murder_occurrence,murder_clearance,robbery_occurrence,robbery_clearance,sexual_occurrence,sexual_clearance,theft_occurrence,theft_clearance,violence_occurrence,violence_clearance,crime_rate,clearance_rate,crime_grade
합계,종로구,2765,3248,2,3,5.0,10.0,209,933,1183,1056,1366,1246,0.03421225206943912,1.1746835443037975,NORMAL
합계,중구,2955,2180,5,4,5.0,5.0,177,121,1398,816,1370,1234,0.03656318439970799,0.7377326565143824,NORMAL
합계,용산구,3322,2475,10,6,4.0,3.0,267,235,1082,589,1959,1642,0.04110419579554313,0.7450331125827815,NORMAL
합계,성동구,2117,1510,5,6,3.0,3.0,114,90,966,544,1029,867,0.02619433549041686,0.7132735002361833,SAFE
합계,광진구,2870,2219,2,2,6.0,7.0,235,183,1320,942,1307,1085,0.03551145151511402,0.7731707317073171,NORMAL
합계,동대문구,3216,2482,7,6,4.0,2.0,125,110,1617,1060,1463,1304,0.039792623021814175,0.7717661691542289,NORMAL
합계,중랑구,3169,2463,5,5,2.0,2.0,143,116,1437,931,1582,1409,0.039211076603273984,0.7772167876301672,NORMAL
합계,성북구,2184,1749,3,2,1.0,1.0,146,109,884,578,1150,1059,0.027023348470037987,0.8008241758241759,SAFE
합계,강북구,2289,2061,6,6,,,142,112,970,835,1171,1108,0.02832254791571289,0.9003931847968545,SAFE
합계,도봉구,1741,1379,7,3,,1.0,73,61,800,520,861,794,0.0215419641420953,0.7920735209649626,SAFE
합계,노원구,3101,2409,7,5,3.0,2.0,146,126,1508,899,1437,1377,0.03836969029559881,0.7768461786520477,NORMAL
합계,은평구,3217,2463,9,9,1.0,4.0,132,108,1517,993,1558,1349,0.03980499634986823,0.7656201429903637,NORMAL
합계,서대문구,2054,1486,3,3,,,131,119,1014,588,906,776,0.025414815823011916,0.7234664070107109,SAFE
합계,마포구,3891,3033,4,3,4.0,5.0,503,389,1471,949,1909,1687,0.0481446194582957,0.779491133384734,DANGER
합계,양천구,3000,2113,4,4,1.0,1.0,109,88,1518,832,1368,1188,0.03711998416214009,0.7043333333333334,NORMAL
합계,강서구,4008,3411,5,5,6.0,4.0,271,214,1670,1275,2056,1913,0.049592298840619164,0.8510479041916168,DANGER
합계,구로구,3378,2463,7,6,,1.0,186,133,1572,918,1613,1405,0.04179710216656974,0.7291296625222025,NORMAL
합계,금천구,2017,1710,7,6,3.0,3.0,129,99,886,685,992,917,0.02495700268501219,0.8477937530986613,SAFE
합계,영등포구,4167,3347,11,11,6.0,5.0,284,204,1791,1323,2075,1804,0.05155965800121259,0.8032157427405807,DANGER
합계,동작구,2454,1760,1,1,1.0,1.0,180,109,1085,598,1187,1051,0.030364147044630595,0.7171964140179299,SAFE
합계,관악구,4485,3516,4,5,3.0,2.0,338,284,1971,1212,2169,2013,0.05549437632239944,0.7839464882943143,DANGER
합계,서초구,3788,2928,10,10,5.0,2.0,364,312,1585,1017,1824,1587,0.04687016666872889,0.7729672650475184,NORMAL
합계,강남구,6107,4570,16,17,17.0,12.0,640,533,2097,1140,3337,2868,0.07556391442606318,0.7483215981660389,DANGER
합계,송파구,5174,3790,6,5,3.0,5.0,315,255,2502,1506,2348,2019,0.0640195993516376,0.732508697332818,DANGER
합계,강동구,3350,2510,3,4,4.0,4.0,164,140,1662,990,1517,1372,0.04145064898105644,0.7492537313432835,NORMAL
